race,party,candidate,votes
President,Republican,DONALD J. TRUMP,352079
President,We The People,ROBERT F. KENNEDY JR.,11825
President,Democrat,KAMALA D. HARRIS,231906
President,Libertarian,CHASE OLIVER,4275
President,Green,JILL STEIN,2878
U.S. Senate,Democrat,JON TESTER,276305
U.S. Senate,Republican,TIM SHEEHY,319682
U.S. Senate,Libertarian,SID DAOUD,7272
U.S. Senate,Green,ROBERT BARB,4003
U.S. House 1,Republican,RYAN K ZINKE,168529
U.S. House 1,Libertarian,DENNIS HAYES,9954
U.S. House 1,Democrat,MONICA TRANEL,143783
U.S. House 2,Democrat,JOHN B DRISCOLL,93713
U.S. House 2,Republican,TROY DOWNING,181832
Governor,Democrat,RYAN BUSSE,232644
Governor,Republican,GREG GIANFORTE,354569
Governor,Libertarian,KAISER LEIB,15191
Secretary of State,Republican,CHRISTI JACOBSEN,364319
Secretary of State,Democrat,JESSE JAMES MULLEN,210651
Secretary of State,Libertarian,JOHN LAMB,18500
Attorney General,Democrat,BEN ALKE,237928
Attorney General,Republican,AUSTIN KNUDSEN,352682
State Auditor,Republican,JAMES BROWN,358642
State Auditor,Democrat,JOHN REPKE,225251
Superintendent of Public Instruction,Republican,SUSIE HEDALEN,348360
Superintendent of Public Instruction,Democrat,SHANNON OBRIEN,238880
PSC 2,Democrat,SUSAN BILO,44823
PSC 2,Republican,BRAD MOLNAR,64828
PSC 3,Republican,JEFF WELBORN,77213
PSC 3,Democrat,"LEONARD ""LENNY"" WILLIAMS",47688
PSC 4,Republican,JENNIFER  FIELDER,69903
PSC 4,Independent,ELENA EVANS,57897
Clerk of the Supreme Court,Republican,BOWEN GREENWOOD,330503
Clerk of the Supreme Court,Democrat,ERIN FARRIS-OLSEN,226105
Clerk of the Supreme Court,Libertarian,ROGER ROOTS,24639
Supeme Court Chief Justice,Non-Partisan,JEREMIAH LYNCH,254595
Supeme Court Chief Justice,Non-Partisan,CORY SWANSON,296545
Supreme Court Justice,Non-Partisan,KATHERINE BIDEGARAY,299480
Supreme Court Justice,Non-Partisan,DAN WILSON,254294
